"","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS","TARGET"
"1",5.4,0.86,0.27,10.7,0.092,23,398,0.98527,5.02,0.64,12.3,1,6,0,2
"2",12.4,0.385,0.76,19.7,1.169,37,68,0.99048,3.37,1.09,16,0,6,2,4
"3",7.2,1.75,0.17,33,0.065,9,76,1.04641,4.61,0.68,8.55,0,8,1,3
"4",6.2,0.1,1.8,1,0.179,104,89,0.98877,3.2,2.11,12.3,1,8,1,3
"5",11.4,0.21,0.28,1.2,0.038,70,53,1.02899,2.54,0.07,4.8,0,10,0,1
"6",17.6,0.04,1.15,1.4,0.535,250,140,0.95028,3.06,0.02,11.4,1,8,4,5
"7",15.5,0.53,0.53,4.6,1.263,10,17,1.0002,3.07,0.75,8.5,0,12,3,4
"8",15.9,1.19,1.14,31.9,0.299,115,381,1.03416,2.99,0.31,11.4,1,7,0,2
"9",11.6,0.32,0.55,50.9,0.076,35,83,1.0002,3.32,2.18,0.5,0,12,0,0
"10",3.8,0.22,0.31,7.7,0.039,40,129,0.9061,4.72,0.64,10.9,0,7,0,1
"11",6.8,1.68,0.44,13.3,0.046,126.13,583,1.00833,3.1257,1.64,12.6,0,8,1,3
"12",9,0.21,0.04,51.4,0.237,213,527,0.99516,3.16,0.7,14.7,1,10,0,1
"13",24.6,0.03,1.2,1.3,0.035,241,297,0.99232,2.22,0.5,9.8,0,9,2,4
"14",13,0.21,0.32,3.2,0.263,111,141,0.95918,3.2,0.858466666666667,4.2,0,8,0,1
"15",17.9,0.42,0.91,7.1,0.045,177,169,0.95307,3.17,1.12,13.2,1,9,0,1
"16",10,0.2,1.27,30.9,0.05,19,152,0.994,3.2405,0.42,13.8,1,11,2,4
"17",7.4,0.29,0.5,8.5,0.48,178,647,0.97275,3.45,0.5,10.2,1,8,1,3
"18",11.7,1.18,0.94,62,0.675,7,393,0.99974,3.96,0.69,5.2,1,13,0,0
"19",9.7,0.41,1,17.057,0.235,24,113,0.99772,3.44,0.53,9.8,0,7,2,4
"20",5.2,0.98,0.08,6.4,0.046,180,166,0.994,3.3,2.18,9.9,1,5,3,5
"21",7.3,0.19,0.49,35.55,0.38,75,343,0.9998,3.42,0.36,13.3,2,8,2,4
"22",6.7,0.78,0.31,16.4,0.03,20,16,0.99834,3.11,0.57,9.1,0,7,0,1
"23",4.1,0.54,0.3,2.2,0.088,9,427,0.99725,3.98,2.06,11.4,2,8,0,1
"24",6.5,1.53,0.84,14.4,0.047,54,184,0.9461,3.17,0.56,9.2,1,7,1,3
"25",11.8,0.27,0.46,11.75,0.316,61,794,1.01959,2.2,0.07,5.4,0,7,2,4
"26",5,0.16,0.78,1.4,0.898,10,67,0.94608,2.5,0.41,9.4,2,7,2,4
"27",8.3,0.26,1.93,12.7,0.042,41,479,0.99869,3.1,1.66,12,1,9,2,4
"28",3.3,0.23,1.39,1.8,0.043,183,69,0.9933,3.38,0.31,10.8,1,6,4,5
"29",8.7,0.3,0.3,4.5,0.053,48.5,314,0.94736,2.73,2,10.3,0,8,4,5
"30",1.2,1.01,0.32,29.293,0.038,345,277,0.99074,4.29,1.02,9,1,7,1,3
"31",7,0.21,0.49,23.344,0.066,400,239,0.95914,3.2019,0.736,10.8,0,8,3,4
"32",7.9,0.16,1.32,7.4,0.05,109,152,0.99612,3.12,1.28,3.8,1,8,0,1
"33",5.4,0.345,0.27,10.1,0.056,38,187,0.99486,2.14,0.12,14.4,0,7,3,4
"34",3.9,0.74,0.95,11.7,0.4,293,185,0.99266,3.28,2.01,16.4,0,7,1,3
"35",8,0.41,0.57,10.4,0.585,176,134,0.98409,3.12,0.35,10.7,1,9,0,1
"36",6.7,0.14,0.49,1.4,0.233,6,77,1.01696,2.92,0.42,10.8,0,7,2,4
"37",6.4,0.29,0.18,3,0.04,21,102,0.99736,4.39,1.42,9.2,1,7,1,3
"38",6.9,2.34,1.33,28.4,0.039,30,98,1.01251,4.64,0.46,9.2,1,7,3,5
"39",5.6,0.12,0.24,4.8,0.465,24,72,1.024,3.23,3.32,12.6,1,6,0,1
"40",7.9,0.42,1.2,1.6,0.582,201,205,0.95684,4.2,0.69,11.2,1,9,0,1
"41",6.8,1.19,0.98,1.2,0.034,6,68,1.02652,3.14,0.37,16.8,1,7,1,3
"42",1.2,0.3,0.21,27.85,0.26102,33,153,0.99244,3.96,1.06,10.825,0,8,0,1
"43",8.4,0.725,0.11,1.9,0.296,35,63,0.9965,3.19,2.05,9.6,0,9,0,1
"44",8,1.2,0.26,12.6,0.351,98,213,0.97841,3.66,0.56,9.3,0,9,0,1
"45",6.8,1.36,0.3,20.7,0.043,263,214.72,1.03284,3.17,0.46,24.4,0,7,1,3
"46",14.3,0.32,0.25,2.3,0.013,13,349,0.9957,4.65,1.19,12.2,0,6,2,4
"47",6.6,0.82,0.24,23.8,0.048,55,347,0.97506,3.2,0.38,15.2,0,7,1,3
"48",4,0.16,0.27,44.4,0.607,227,98,1.03142,2.24,0.34,7.9,1,6,2,4
"49",28.3,0.645,0.03,7.9,0.086,195,39,0.9969,2.93,0.53,11.6,0,8,3,5
"50",4.7,0.98,0.35,24.7,0.235,11,9,0.9926,2.19,0.38,12.4,0,9,1,3
"51",5.8,0.21,0.25,50.5,0.038,33,135,0.96472,3.28,0.49,9.4,0,7,2,4
"52",8.9,0.33,0.5,61.55,0.038,234,138,0.96369,3.03,0.09,10.8304,0,8,0,1
"53",10.6,1.02,0.61,1.1,0.422,25,107,0.9923,2.45,0.34,10.2,0,9,3,4
"54",10.9,1.2,1.22,27.9,0.12,207,17,1.0002,4.2,1.31,11.7,0,12,0,0
"55",8.8,0.2,0.59,92.4,0.053,167,214,1.026,3.3874,0.79,8.8,2,9,1,3
"56",6.3,1.15,0.24,91.4,0.052,36,135,0.99374,2.52,1.13,10.1365,2,7,1,3
"57",6.5,0.62,1.82,8,0.179,96.89,431,0.97319,2.68,0.47,7.4,2,7,2,4
"58",9.3,0.31,0.31,59.8,0.379,15,89,0.9976,2.48,0.57,6.3,1,8,2,4
"59",0.3,0.87,0.8,69.5,0.54,170,83,0.98867,3.09,0.44,11.7,0,7,0,1
"60",6,0.25,0.28,37.7,0.468,37,132,0.99489,4.01,1.96,9.4,1,7,0,1
"61",9,0.35,1.5,51.9,0.252,282,170.5,0.9912,3.35,0.31,11.63333333,1,6,2,4
"62",8.7,0.31,0.27,5.6,0.331,91,188.855,0.96927,3.65,0.52,13.3,0,9,0,1
"63",0.1,0.32,0.37,1.8,0.286,13,184,0.9945,4.55,0.8181,10.5,0,7,1,3
"64",6.6,0.24,0.35,13.7,0.031,36,135,0.9938,3.24,1.81,14.5,1,7,1,3
"65",7.2,0.21,1.15,25.4,0.043,186,213,0.98368,3.0723,0.5,9.6,0,8,1,3
"66",7.4,1.14,0.62,6,0.022,40,125,0.9928,3.13,2.31,5.2,1,8,1,3
"67",10.6,0.34,0.35,36.7185,0.657,229,179,0.998,2.87,2.56,8.3,0,7,2,4
"68",4.6,0.24,0.66,1.3,0.043,71,462,0.95428,3.19,1.32,14.7,1,8,2,4
"69",3.9,0.53,1.21,2,0.058,243,144,1.01599,3.21,0.86,12.4,2,8,0,1
"70",16,0.43,0.34,20.3685,0.068,166,104,1.0247,3.19,2.03,9.3,0,7,2,4
"71",15.8,0.86,0.38,41,0.625,167.67,132,0.98895,3.28,0.07,12.4,0,6,3,5
